stock_id,old_price,new_price,percentage_change,volume
2,1566.76,1537.66,-1.86,43
3,1465.8,1522.47,3.87,46
4,843.72,831.31,-1.47,1
5,2450.87,2402.8,-1.96,28
6,1431.81,1497.64,4.6,64
7,2494.57,2503.02,0.34,91
8,693.46,659.68,-4.87,14
9,2273.92,2183.83,-3.96,16
10,1328.68,1269.28,-4.47,3
11,1373.59,1432.03,4.25,23
12,1563.24,1600.26,2.37,85
1,1069.67,1052.49,-1.61,43
2,1537.66,1520.88,-1.09,83
3,1522.47,1551.7,1.92,60
4,831.31,834.18,0.35,28
5,2402.8,2390.13,-0.53,59
6,1497.64,1504.3,0.44,52
7,2503.02,2451.14,-2.07,23
8,659.68,668.08,1.27,34
9,2183.83,2146.37,-1.72,11
10,1269.28,1267.37,-0.15,87
11,1432.03,1382.62,-3.45,37
12,1600.26,1566.2,-2.13,70
1,1052.49,1070.86,1.75,8
2,1520.88,1506.26,-0.96,88
3,1551.7,1606.68,3.54,72
4,834.18,873.94,4.77,5
5,2390.13,2477.48,3.65,93
6,1504.3,1466.56,-2.51,26
7,2451.14,2494.09,1.75,16
8,668.08,677.48,1.41,97
9,2146.37,2144.64,-0.08,29
10,1267.37,1229.9,-2.96,47
11,1382.62,1380.7,-0.14,38
12,1566.2,1581.71,0.99,77
1,1070.86,1121.97,4.77,73
2,1506.26,1538.86,2.16,7
3,1606.68,1601.61,-0.32,30
4,873.94,902.56,3.27,100
5,2477.48,2399.64,-3.14,20
6,1466.56,1395.49,-4.85,54
7,2494.09,2487.95,-0.25,87
8,677.48,670.93,-0.97,19
9,2144.64,2162.14,0.82,51
10,1229.9,1208.42,-1.75,20
11,1380.7,1430.47,3.6,69
12,1581.71,1563.18,-1.17,89
1,1121.97,1139.55,1.57,16
2,1538.86,1581.04,2.74,25
3,1601.61,1654.01,3.27,17
4,902.56,900.3,-0.25,71
5,2399.64,2387.07,-0.52,86
6,1395.49,1367.28,-2.02,44
7,2487.95,2365.84,-4.91,40
8,670.93,703.8,4.9,91
9,2162.14,2163.58,0.07,50
10,1208.42,1148.04,-5,55
11,1430.47,1434.31,0.27,48
12,1563.18,1635.18,4.61,39
1,1139.55,1093.93,-4,72
2,1581.04,1529.53,-3.26,98
3,1654.01,1731.65,4.69,64
4,900.3,940.03,4.41,89
5,2387.07,2464.88,3.26,48
6,1367.28,1387.67,1.49,50
7,2365.84,2365.37,-0.02,78
8,703.8,712.61,1.25,18
9,2163.58,2130.39,-1.53,50
10,1148.04,1193.43,3.95,50
11,1434.31,1450.83,1.15,59
12,1635.18,1558.21,-4.71,26
1,1093.93,1080.48,-1.23,54
2,1529.53,1467.34,-4.07,31
3,1731.65,1689.85,-2.41,44
4,940.03,919.55,-2.18,51
5,2464.88,2419.03,-1.86,55
6,1387.67,1380.84,-0.49,32
7,2365.37,2481.98,4.93,98
8,712.61,683.66,-4.06,95
9,2130.39,2185.51,2.59,9
10,1193.43,1235.5,3.53,20
11,1450.83,1464.79,0.96,100
12,1558.21,1633.53,4.83,71
1,1080.48,1079.47,-0.09,79
2,1467.34,1471.9,0.31,18
3,1689.85,1635.4,-3.22,54
4,919.55,935.22,1.7,43
5,2419.03,2451.23,1.33,26
6,1380.84,1411.92,2.25,73
7,2481.98,2424.32,-2.32,42
8,683.66,673.26,-1.52,9
9,2185.51,2097.43,-4.03,15
10,1235.5,1230.7,-0.39,69
11,1464.79,1509.61,3.06,85
12,1633.53,1664.2,1.88,68
1,1079.47,1112.69,3.08,99
2,1471.9,1511.12,2.66,79
3,1635.4,1582.93,-3.21,90
4,935.22,927.12,-0.87,59
5,2451.23,2366.38,-3.46,45
6,1411.92,1420.88,0.63,31
7,2424.32,2407.97,-0.67,48
8,673.26,646.24,-4.01,87
9,2097.43,2183.5,4.1,55
10,1230.7,1270.81,3.26,46
11,1509.61,1510.55,0.06,56
12,1664.2,1697.02,1.97,70
1,1112.69,1166.41,4.83,97
2,1511.12,1463.46,-3.15,74
3,1582.93,1636.15,3.36,46
4,927.12,963.07,3.88,8
5,2366.38,2405.49,1.65,20
6,1420.88,1428.73,0.55,70
7,2407.97,2380.52,-1.14,37
8,646.24,628.37,-2.77,50
9,2183.5,2259.83,3.5,69
10,1270.81,1224.44,-3.65,19
11,1510.55,1466.26,-2.93,48
12,1697.02,1690.95,-0.36,60
1,1166.41,1167.58,0.1,32
2,1463.46,1496.43,2.25,87
3,1636.15,1712.52,4.67,87
4,963.07,1008.67,4.73,13
5,2405.49,2316.41,-3.7,24
6,1428.73,1426.38,-0.16,21
7,2380.52,2336.42,-1.85,47
8,628.37,653.55,4.01,18
9,2259.83,2335.33,3.34,41
10,1224.44,1206.04,-1.5,96
11,1466.26,1509.43,2.94,25
12,1690.95,1751.78,3.6,42
1,1167.58,1158.85,-0.75,68
2,1496.43,1565.17,4.59,36
3,1712.52,1695.54,-0.99,58
4,1008.67,974.11,-3.43,63
5,2316.41,2399.14,3.57,47
6,1426.38,1460.07,2.36,80
7,2336.42,2345.21,0.38,71
8,653.55,630.34,-3.55,2
9,2335.33,2313.3,-0.94,56
10,1206.04,1181.82,-2.01,23
11,1509.43,1457.32,-3.45,52
12,1751.78,1678.59,-4.18,76
1,1158.85,1195.8,3.19,67
2,1565.17,1528.98,-2.31,34
3,1695.54,1639.01,-3.33,35
4,974.11,950.74,-2.4,23
5,2399.14,2485.43,3.6,41
6,1460.07,1450.1,-0.68,44
7,2345.21,2437.8,3.95,82
8,630.34,604.07,-4.17,86
9,2313.3,2386.48,3.16,88
10,1181.82,1207.84,2.2,49
11,1457.32,1524.7,4.62,34
12,1678.59,1671.68,-0.41,20
1,1195.8,1215.33,1.63,4
2,1528.98,1471.41,-3.77,28
3,1639.01,1673.36,2.1,66
4,950.74,949.18,-0.16,86
5,2485.43,2552.75,2.71,59
6,1450.1,1511.44,4.23,96
7,2437.8,2440.79,0.12,25
8,604.07,602.82,-0.21,81
9,2386.48,2379.11,-0.31,30
10,1207.84,1244.21,3.01,69
11,1524.7,1476.74,-3.15,100
12,1671.68,1620.7,-3.05,81
1,1215.33,1251.23,2.95,47
2,1471.41,1406.57,-4.41,7
3,1673.36,1649.63,-1.42,76
4,949.18,932.32,-1.78,2
5,2552.75,2475.66,-3.02,28
6,1511.44,1436.99,-4.93,50
7,2440.79,2355.31,-3.5,35
8,602.82,586.33,-2.74,60
9,2379.11,2436.41,2.41,73
10,1244.21,1273.14,2.33,12
11,1476.74,1444.69,-2.17,11
12,1620.7,1674.9,3.34,72
1,1251.23,1219.85,-2.51,56
2,1406.57,1388.82,-1.26,26
3,1649.63,1636.17,-0.82,13
4,932.32,910.94,-2.29,29
5,2475.66,2475.95,0.01,50
6,1436.99,1435.9,-0.08,84
7,2355.31,2362.42,0.3,89
8,586.33,563.9,-3.83,11
9,2436.41,2413.22,-0.95,68
10,1273.14,1317.28,3.47,72
11,1444.69,1395.77,-3.39,49
12,1674.9,1595.38,-4.75,57
1,1219.85,1216.19,-0.3,95
2,1388.82,1418.73,2.15,79
3,1636.17,1656.31,1.23,59
4,910.94,903.07,-0.86,97
5,2475.95,2522.5,1.88,35
6,1435.9,1375.94,-4.18,83
7,2362.42,2274.52,-3.72,27
8,563.9,577.36,2.39,12
9,2413.22,2440.18,1.12,79
10,1317.28,1281.15,-2.74,55
11,1395.77,1387.89,-0.56,2
12,1595.38,1617.3,1.37,73
1,1216.19,1260.07,3.61,93
2,1418.73,1412.44,-0.44,13
3,1656.31,1717.5,3.69,26
4,903.07,924.65,2.39,94
5,2522.5,2569.58,1.87,70
6,1375.94,1346.12,-2.17,16
7,2274.52,2173.65,-4.43,6
8,577.36,602.75,4.4,6
9,2440.18,2507.77,2.77,73
10,1281.15,1268.99,-0.95,65
11,1387.89,1347.94,-2.88,35
12,1617.3,1603.3,-0.87,63
1,1260.07,1279.16,1.51,54
2,1412.44,1437.72,1.79,9
3,1717.5,1657.27,-3.51,57
4,924.65,895.19,-3.19,69
5,2569.58,2624.16,2.12,66
6,1346.12,1374.6,2.12,14
7,2173.65,2260.69,4,67
8,602.75,577.83,-4.14,76
9,2507.77,2548.81,1.64,2
10,1268.99,1330.71,4.86,13
11,1347.94,1330.68,-1.28,55
12,1603.3,1623.9,1.29,37
1,1279.16,1256.59,-1.76,61
2,1437.72,1439.13,0.1,81
3,1657.27,1723.14,3.97,51
4,895.19,929.82,3.87,23
5,2624.16,2612.41,-0.45,70
6,1374.6,1308.53,-4.81,96
7,2260.69,2213.18,-2.1,23
8,577.83,556.36,-3.72,96
9,2548.81,2613.86,2.55,84
10,1330.71,1334.96,0.32,68
11,1330.68,1385.49,4.12,56
12,1623.9,1701.3,4.77,46
1,1256.59,1201.51,-4.38,51
2,1439.13,1371.92,-4.67,73
3,1723.14,1715.61,-0.44,80
4,929.82,925.93,-0.42,82
5,2612.41,2612.25,-0.01,79
6,1308.53,1338.65,2.3,36
7,2213.18,2310.93,4.42,95
8,556.36,551.7,-0.84,57
9,2613.86,2644.55,1.17,4
10,1334.96,1321.89,-0.98,35
11,1385.49,1350.72,-2.51,92
12,1701.3,1635.86,-3.85,96
1,1201.51,1179.64,-1.82,17
2,1371.92,1409.34,2.73,43
3,1715.61,1769.14,3.12,79
4,925.93,927.5,0.17,89
5,2612.25,2734.44,4.68,7
6,1338.65,1315.43,-1.73,47
7,2310.93,2304.98,-0.26,69
8,551.7,534.3,-3.15,89
9,2644.55,2630.69,-0.52,96
10,1321.89,1368.52,3.53,19
11,1350.72,1291.37,-4.39,60
12,1635.86,1627.41,-0.52,78
1,1179.64,1202.97,1.98,78
2,1409.34,1469.84,4.29,14
3,1769.14,1797.62,1.61,76
4,927.5,917.49,-1.08,89
5,2734.44,2604.98,-4.73,5
6,1315.43,1321.97,0.5,7
7,2304.98,2231.3,-3.2,66
8,534.3,509.07,-4.72,67
9,2630.69,2514.58,-4.41,17
10,1368.52,1321.58,-3.43,65
11,1291.37,1262.74,-2.22,65
12,1627.41,1562.57,-3.98,32
1,1202.97,1227.92,2.07,6
2,1469.84,1486.95,1.16,42
3,1797.62,1850.88,2.96,55
4,917.49,874.46,-4.69,61
5,2604.98,2698.36,3.58,53
6,1321.97,1310.55,-0.86,20
7,2231.3,2216.6,-0.66,30
8,509.07,504.66,-0.87,35
9,2514.58,2539.53,0.99,14
10,1321.58,1308.52,-0.99,50
11,1262.74,1322.42,4.73,52
12,1562.57,1605.46,2.74,9
1,1227.92,1218.79,-0.74,94
2,1486.95,1519.83,2.21,1
3,1850.88,1903.36,2.84,27
4,874.46,857.57,-1.93,23
5,2698.36,2563.86,-4.98,88
6,1310.55,1250.52,-4.58,74
7,2216.6,2267.26,2.29,85
8,504.66,503.92,-0.15,29
9,2539.53,2658.37,4.68,98
10,1308.52,1331,1.72,37
11,1322.42,1379.83,4.34,28
12,1605.46,1537.82,-4.21,91
1,1218.79,1181.1,-3.09,8
2,1519.83,1537.85,1.19,51
3,1903.36,1850.74,-2.76,60
4,857.57,885.24,3.23,60
5,2563.86,2487.31,-2.99,1
6,1250.52,1306.86,4.51,71
7,2267.26,2225.29,-1.85,89
8,503.92,501.51,-0.48,97
9,2658.37,2580.03,-2.95,61
10,1331,1361.56,2.3,10
11,1379.83,1366.96,-0.93,86
12,1537.82,1498.03,-2.59,27
1,1181.1,1225,3.72,69
2,1537.85,1596.38,3.81,66
3,1850.74,1893.21,2.29,88
4,885.24,860.46,-2.8,12
5,2487.31,2417.35,-2.81,4
6,1306.86,1304.44,-0.19,46
7,2225.29,2209.78,-0.7,79
8,501.51,501.28,-0.05,59
9,2580.03,2500.13,-3.1,53
10,1361.56,1323.43,-2.8,48
11,1366.96,1388.2,1.55,59
12,1498.03,1445.69,-3.49,52
1,1225,1223.67,-0.11,80
2,1596.38,1650.38,3.38,35
3,1893.21,1849.81,-2.29,48
4,860.46,819.82,-4.72,72
5,2417.35,2358.87,-2.42,4
6,1304.44,1308.24,0.29,100
7,2209.78,2239.74,1.36,16
8,501.28,489.19,-2.41,99
9,2500.13,2578.46,3.13,87
10,1323.43,1258.62,-4.9,4
11,1388.2,1426.43,2.75,54
12,1445.69,1456.85,0.77,2
1,1223.67,1212.25,-0.93,7
2,1650.38,1732.37,4.97,51
3,1849.81,1825.41,-1.32,62
4,819.82,800.07,-2.41,38
5,2358.87,2378.22,0.82,8
6,1308.24,1309.03,0.06,32
7,2239.74,2238.81,-0.04,74
8,489.19,499.64,2.14,89
9,2578.46,2536.89,-1.61,38
10,1258.62,1311.11,4.17,23
11,1426.43,1428.54,0.15,19
12,1456.85,1507.55,3.48,91
1,1212.25,1157.58,-4.51,82
2,1732.37,1668.49,-3.69,62
3,1825.41,1804.83,-1.13,41
4,800.07,807.26,0.9,52
5,2378.22,2349.05,-1.23,45
6,1309.03,1371.68,4.79,73
7,2238.81,2295.08,2.51,32
8,499.64,517.49,3.57,99
9,2536.89,2498.93,-1.5,42
10,1311.11,1266.8,-3.38,28
11,1428.54,1451.43,1.6,81
12,1507.55,1462.63,-2.98,42
1,1157.58,1108.78,-4.22,50
2,1668.49,1690.38,1.31,71
3,1804.83,1732.24,-4.02,72
4,807.26,833.87,3.3,7
5,2349.05,2380.03,1.32,1
6,1371.68,1386.38,1.07,85
7,2295.08,2406.5,4.85,56
8,517.49,505.21,-2.37,77
9,2498.93,2600.06,4.05,20
10,1266.8,1223.37,-3.43,41
11,1451.43,1444.53,-0.48,9
12,1462.63,1425.6,-2.53,48
1,1108.78,1144.39,3.21,12
2,1690.38,1767.1,4.54,99
3,1732.24,1692.87,-2.27,9
4,833.87,803.96,-3.59,13
5,2380.03,2374.44,-0.23,54
6,1386.38,1400.39,1.01,40
7,2406.5,2416.44,0.41,86
8,505.21,511.39,1.22,33
9,2600.06,2576.23,-0.92,52
10,1223.37,1176.15,-3.86,2
11,1444.53,1444.24,-0.02,35
12,1425.6,1444.16,1.3,90
1,1144.39,1160.42,1.4,93
2,1767.1,1713.6,-3.03,14
3,1692.87,1728.97,2.13,90
4,803.96,828.18,3.01,97
5,2374.44,2446.14,3.02,81
6,1400.39,1369.69,-2.19,6
7,2416.44,2535.42,4.92,34
8,511.39,508.87,-0.49,89
9,2576.23,2696.68,4.68,40
10,1176.15,1174.57,-0.13,52
11,1444.24,1419.26,-1.73,43
12,1444.16,1469.82,1.78,42
1,1160.42,1137.41,-1.98,48
2,1713.6,1640.76,-4.25,35
3,1728.97,1731.88,0.17,15
4,828.18,866.31,4.6,23
5,2446.14,2334.98,-4.54,21
6,1369.69,1365.36,-0.32,62
7,2535.42,2575.2,1.57,52
8,508.87,519.78,2.14,26
9,2696.68,2794.9,3.64,30
10,1174.57,1182.99,0.72,41
11,1419.26,1396.51,-1.6,77
12,1469.82,1399.7,-4.77,29
1,1137.41,1095.22,-3.71,41
2,1640.76,1565.38,-4.59,88
3,1731.88,1672.23,-3.44,63
4,866.31,894.83,3.29,71
5,2334.98,2334.23,-0.03,19
6,1365.36,1393.44,2.06,67
7,2575.2,2466.57,-4.22,36
8,519.78,496.5,-4.48,65
9,2794.9,2728.35,-2.38,7
10,1182.99,1216.42,2.83,4
11,1396.51,1368.93,-1.98,20
12,1399.7,1434.39,2.48,72
1,1095.22,1106.88,1.06,93
2,1565.38,1628.12,4.01,99
3,1672.23,1606.39,-3.94,16
4,894.83,934.97,4.49,51
5,2334.23,2263.09,-3.05,70
6,1393.44,1448.8,3.97,51
7,2466.57,2410.45,-2.28,51
8,496.5,521.03,4.94,83
9,2728.35,2742.07,0.5,57
10,1216.42,1191.6,-2.04,24
11,1368.93,1323.37,-3.33,17
12,1434.39,1362.83,-4.99,21
1,1106.88,1071.89,-3.16,15
2,1628.12,1676.23,2.96,82
3,1606.39,1631.08,1.54,29
4,934.97,891.07,-4.7,45
5,2263.09,2239.78,-1.03,68
6,1448.8,1431.17,-1.22,6
7,2410.45,2488.15,3.22,94
8,521.03,527.11,1.17,21
9,2742.07,2814.47,2.64,13
10,1191.6,1195.5,0.33,49
11,1323.37,1339.55,1.22,49
12,1362.83,1297.81,-4.77,99
1,1071.89,1086.58,1.37,86
2,1676.23,1670.52,-0.34,89
3,1631.08,1564.3,-4.09,80
4,891.07,892.84,0.2,79
5,2239.78,2339.95,4.47,37
6,1431.17,1451.22,1.4,3
7,2488.15,2556.53,2.75,69
8,527.11,519.51,-1.44,10
9,2814.47,2749.98,-2.29,21
10,1195.5,1199.93,0.37,94
11,1339.55,1375.38,2.67,54
12,1297.81,1275.38,-1.73,75
1,1086.58,1071.22,-1.41,90
2,1670.52,1633.94,-2.19,48
3,1564.3,1564.44,0.01,34
4,892.84,855.52,-4.18,49
5,2339.95,2293.98,-1.96,64
6,1451.22,1431.09,-1.39,12
7,2556.53,2483.23,-2.87,71
8,519.51,524.23,0.91,27
9,2749.98,2757.96,0.29,37
10,1199.93,1147.94,-4.33,37
11,1375.38,1333.27,-3.06,6
12,1275.38,1233.34,-3.3,53
1,1071.22,1018.18,-4.95,77
2,1633.94,1593.9,-2.45,95
3,1564.44,1489.14,-4.81,43
4,855.52,884.86,3.43,62
5,2293.98,2357.2,2.76,48
6,1431.09,1446.91,1.11,27
7,2483.23,2538.15,2.21,45
8,524.23,537.63,2.56,72
9,2757.96,2702.82,-2,38
10,1147.94,1111.5,-3.17,81
11,1333.27,1318.38,-1.12,85
12,1233.34,1223.4,-0.81,73
1,1018.18,989.3,-2.84,21
2,1593.9,1659.14,4.09,9
3,1489.14,1514.4,1.7,90
4,884.86,889.08,0.48,81
5,2357.2,2460.06,4.36,56
6,1446.91,1396.1,-3.51,98
7,2538.15,2444.74,-3.68,34
8,537.63,517.18,-3.8,52
9,2702.82,2751.17,1.79,5
10,1111.5,1071.09,-3.64,67
11,1318.38,1346.67,2.15,66
12,1223.4,1170.6,-4.32,10
1,989.3,995.91,0.67,92
2,1659.14,1647.38,-0.71,70
3,1514.4,1519.77,0.35,17
4,889.08,859.27,-3.35,33
5,2460.06,2438.44,-0.88,27
6,1396.1,1433.89,2.71,46
7,2444.74,2345.29,-4.07,88
8,517.18,525.31,1.57,15
9,2751.17,2826.61,2.74,84
10,1071.09,1045.19,-2.42,53
11,1346.67,1308.51,-2.83,75
12,1170.6,1176.5,0.5,91
1,995.91,982.69,-1.33,89
2,1647.38,1571.18,-4.63,23
3,1519.77,1476.68,-2.84,30
4,859.27,843.56,-1.83,85
5,2438.44,2375.83,-2.57,76
6,1433.89,1485.4,3.59,67
7,2345.29,2352.14,0.29,60
8,525.31,550.57,4.81,95
9,2826.61,2744.65,-2.9,22
10,1045.19,1003.53,-3.99,47
11,1308.51,1320.55,0.92,66
12,1176.5,1219.46,3.65,65
1,982.69,933.99,-4.96,72
2,1571.18,1529.55,-2.65,73
3,1476.68,1521.72,3.05,3
4,843.56,833.64,-1.18,12
5,2375.83,2295.96,-3.36,31
6,1485.4,1476.29,-0.61,88
7,2352.14,2380.86,1.22,29
8,550.57,575.12,4.46,81
9,2744.65,2759.93,0.56,19
10,1003.53,976.78,-2.67,89
11,1320.55,1359.01,2.91,3
12,1219.46,1168.31,-4.19,7
1,933.99,900.66,-3.57,95
2,1529.55,1460.6,-4.51,85
3,1521.72,1462.58,-3.89,28
4,833.64,873.14,4.74,10
5,2295.96,2355.39,2.59,45
6,1476.29,1505.12,1.95,19
7,2380.86,2314.38,-2.79,35
8,575.12,563.7,-1.99,79
9,2759.93,2713.96,-1.67,88
10,976.78,1009.91,3.39,29
11,1359.01,1409.28,3.7,95
12,1168.31,1191.87,2.02,95
1,900.66,924.23,2.62,88
2,1460.6,1460.34,-0.02,83
3,1462.58,1416.89,-3.12,45
4,873.14,915.05,4.8,39
5,2355.39,2434.8,3.37,24
6,1505.12,1565.26,4,72
7,2314.38,2218.55,-4.14,92
8,563.7,572.57,1.57,38
9,2713.96,2837.7,4.56,13
10,1009.91,985.49,-2.42,54
11,1409.28,1448.55,2.79,34
12,1191.87,1215.2,1.96,71
1,924.23,942.1,1.93,61
2,1460.34,1529.86,4.76,95
3,1416.89,1425.66,0.62,41
4,915.05,902.35,-1.39,34
5,2434.8,2465.6,1.27,60
6,1565.26,1579.29,0.9,87
7,2218.55,2130.32,-3.98,15
8,572.57,576.38,0.66,26
9,2837.7,2818.9,-0.66,35
10,985.49,991.52,0.61,84
11,1448.55,1487.84,2.71,69
12,1215.2,1179.94,-2.9,86
1,942.1,922.44,-2.09,1
2,1529.86,1485.84,-2.88,72
3,1425.66,1395.07,-2.15,65
4,902.35,910.63,0.92,16
5,2465.6,2397.55,-2.76,97
6,1579.29,1649.9,4.47,38
7,2130.32,2046.6,-3.93,27
8,576.38,555.91,-3.55,26
9,2818.9,2797.13,-0.77,4
10,991.52,942.66,-4.93,42
11,1487.84,1456.9,-2.08,85
12,1179.94,1138.19,-3.54,34
1,922.44,948.99,2.88,42
2,1485.84,1522.11,2.44,95
3,1395.07,1435.16,2.87,20
4,910.63,896.81,-1.52,56
5,2397.55,2326.86,-2.95,87
6,1649.9,1582.75,-4.07,25
7,2046.6,2016.15,-1.49,16
8,555.91,538.52,-3.13,39
9,2797.13,2710.74,-3.09,94
10,942.66,975.83,3.52,78
11,1456.9,1444.61,-0.84,86
12,1138.19,1191.78,4.71,78
1,948.99,930.92,-1.9,83
2,1522.11,1468.25,-3.54,15
3,1435.16,1491.35,3.92,1
4,896.81,893.76,-0.34,65
5,2326.86,2387.62,2.61,37
6,1582.75,1520.55,-3.93,89
7,2016.15,1936.82,-3.93,40
8,538.52,519.96,-3.45,89
9,2710.74,2758.75,1.77,95
10,975.83,931.65,-4.53,42
11,1444.61,1506.57,4.29,11
12,1191.78,1145.72,-3.86,28
1,930.92,944.48,1.46,99
2,1468.25,1410.47,-3.94,59
3,1491.35,1521.86,2.05,33
4,893.76,900.41,0.74,97
5,2387.62,2306.02,-3.42,98
6,1520.55,1573.27,3.47,88
7,1936.82,1954.17,0.9,52
8,519.96,531.44,2.21,28
9,2758.75,2661.75,-3.52,94
10,931.65,920.6,-1.19,13
11,1506.57,1489.12,-1.16,41
12,1145.72,1100.88,-3.91,66
1,944.48,953.26,0.93,6
2,1410.47,1358.13,-3.71,72
