Company Name,Stock ID,News,Company Sentiment,Sector Sentiment,Volatility,Randomness
Global Trust Investments (GTI),GTI,Global Trust Investments (GTI) reports strong growth in finance sector.,-2.3,0.24,0.8,0.89
Global Trust Investments (GTI),GTI,Global Trust Investments (GTI) reports strong growth in finance sector.,3.38,-0.13,1.5,0.52
Global Trust Investments (GTI),GTI,Global Trust Investments (GTI) reports strong growth in finance sector.,-4.73,2.84,1.0,0.48
Global Trust Investments (GTI),GTI,Global Trust Investments (GTI) reports strong growth in finance sector.,-2.63,0.41,1.5,-0.21
Sterling Bancorp (STBC),STBC,Sterling Bancorp (STBC) reports strong growth in finance sector.,-3.24,-0.53,0.8,0.34
Sterling Bancorp (STBC),STBC,Sterling Bancorp (STBC) reports strong growth in finance sector.,-2.08,1.77,1.5,-0.25
Sterling Bancorp (STBC),STBC,Sterling Bancorp (STBC) reports strong growth in finance sector.,-4.6,-2.22,1.5,-0.09
Sterling Bancorp (STBC),STBC,Sterling Bancorp (STBC) reports strong growth in finance sector.,0.96,0.55,1.5,-0.43
Sterling Bancorp (STBC),STBC,Sterling Bancorp (STBC) reports strong growth in finance sector.,4.34,-1.74,1.5,-0.14
Sterling Bancorp (STBC),STBC,Sterling Bancorp (STBC) reports strong growth in finance sector.,4.39,2.88,1.5,-0.33
Sterling Bancorp (STBC),STBC,Sterling Bancorp (STBC) reports strong growth in finance sector.,-3.64,-2.53,1.0,-0.07
Sterling Bancorp (STBC),STBC,Sterling Bancorp (STBC) reports strong growth in finance sector.,-2.98,-1.51,0.8,0.28
Edulink Learning (EDLK),EDLK,Edulink Learning (EDLK) reports strong growth in education sector.,3.61,-2.74,1.5,-0.19
Edulink Learning (EDLK),EDLK,Edulink Learning (EDLK) reports strong growth in education sector.,-1.74,0.79,1.0,0.11
Edulink Learning (EDLK),EDLK,Edulink Learning (EDLK) reports strong growth in education sector.,-4.18,2.55,0.8,-0.19
Edulink Learning (EDLK),EDLK,Edulink Learning (EDLK) reports strong growth in education sector.,-0.54,-2.58,2.0,-0.06
Edulink Learning (EDLK),EDLK,Edulink Learning (EDLK) reports strong growth in education sector.,1.52,-1.43,1.0,-0.07
Edulink Learning (EDLK),EDLK,Edulink Learning (EDLK) reports strong growth in education sector.,-4.15,-1.4,0.8,-0.31
Edulink Learning (EDLK),EDLK,Edulink Learning (EDLK) reports strong growth in education sector.,0.71,-0.85,1.0,-0.67
Edulink Learning (EDLK),EDLK,Edulink Learning (EDLK) reports strong growth in education sector.,4.77,-1.36,1.0,0.72
EduCorp International (EDCI),EDCI,EduCorp International (EDCI) reports strong growth in education sector.,2.34,-1.71,0.8,-0.67
EduCorp International (EDCI),EDCI,EduCorp International (EDCI) reports strong growth in education sector.,2.5,-2.33,1.5,-0.07
EduCorp International (EDCI),EDCI,EduCorp International (EDCI) reports strong growth in education sector.,-4.07,-1.84,1.0,0.16
EduCorp International (EDCI),EDCI,EduCorp International (EDCI) reports strong growth in education sector.,4.73,2.38,1.0,0.65
EduCorp International (EDCI),EDCI,EduCorp International (EDCI) reports strong growth in education sector.,-4.85,0.18,2.0,0.06
EduCorp International (EDCI),EDCI,EduCorp International (EDCI) reports strong growth in education sector.,-1.77,2.09,0.8,0.14
EduCorp International (EDCI),EDCI,EduCorp International (EDCI) reports strong growth in education sector.,-2.22,0.4,1.5,0.41
EduCorp International (EDCI),EDCI,EduCorp International (EDCI) reports strong growth in education sector.,0.38,-1.58,2.0,0.05
